processor_model,manufacturer,socket_type,core_count,clock_speed,power_consumption,price,release_date,architecture,is_discontinued
i3,Intel,LGA1151,3,1.3,194,390.24 zł,8/5/2019,x86-64,false
i3,Intel,AM4,4,4.3,164,500.72 zł,11/3/2016,x86,true
i5,AMD,LGA1151,15,2.74,165,117.27 zł,10/29/2012,x86-64,true
Ryzen 7,Intel,AM4,11,2.94,73,114.51 zł,11/21/2022,x86-64,true
i7,AMD,LGA1151,7,4.81,171,179.67 zł,10/5/2013,x86-64,false
i7,Intel,LGA1151,2,4.75,176,826.77 zł,7/18/2019,x86,false
i5,AMD,AM4,14,3.67,92,892.27 zł,12/16/2017,x86,true
Ryzen 7,Intel,AM4,14,4.15,114,543.09 zł,12/18/2020,x86,false
i7,AMD,LGA1151,9,2.47,19,996.69 zł,8/26/2015,x86,true
i5,AMD,AM4,8,1.74,177,69.27 zł,3/27/2012,x86,true
i7,Intel,AM4,6,3.02,149,967.64 zł,9/28/2013,x86,true
i3,Intel,AM4,7,2.96,138,406.69 zł,12/23/2012,x86-64,true
i5,AMD,LGA1151,4,2.16,98,753.06 zł,6/12/2018,x86,false
i7,AMD,LGA1151,13,3.82,59,912.06 zł,6/28/2013,x86-64,true
Ryzen 5,AMD,AM4,10,1.25,182,343.57 zł,5/29/2017,x86,false
Ryzen 5,AMD,LGA1151,14,1.58,131,248.89 zł,9/21/2013,x86,true
i5,AMD,LGA1151,12,1.84,193,794.19 zł,6/7/2013,x86-64,true
i5,AMD,LGA1151,15,1.04,14,632.24 zł,9/30/2015,x86-64,true
i7,Intel,AM4,6,1.66,28,242.69 zł,3/16/2019,x86,false
i7,AMD,LGA1151,12,3.19,61,977.31 zł,6/19/2012,x86-64,false
Ryzen 5,Intel,LGA1151,8,3.01,39,746.4 zł,2/18/2010,x86,true
i5,Intel,AM4,4,3.2,65,408.23 zł,6/10/2022,x86-64,true
Ryzen 7,AMD,AM4,6,3.9,67,412.51 zł,10/7/2011,x86-64,false
Ryzen 5,AMD,AM4,4,1.9,49,807.77 zł,5/29/2010,x86,false
i7,Intel,LGA1151,14,2.82,79,475.24 zł,5/30/2014,x86,false
Ryzen 5,AMD,LGA1151,5,4.34,54,708.37 zł,7/17/2017,x86,false
i5,Intel,AM4,2,2.06,119,767.47 zł,11/2/2022,x86,false
i7,Intel,LGA1151,7,2.99,27,896.54 zł,12/30/2022,x86-64,true
i5,Intel,AM4,11,2.88,60,77.32 zł,8/12/2020,x86-64,false
Ryzen 7,Intel,AM4,9,3.08,134,103.02 zł,7/16/2010,x86,true
i5,Intel,LGA1151,9,3.38,86,422.28 zł,4/28/2020,x86-64,true
Ryzen 7,Intel,AM4,13,1.89,101,902.64 zł,10/8/2013,x86-64,true
Ryzen 7,AMD,LGA1151,15,1.76,95,846.72 zł,10/12/2022,x86-64,false
Ryzen 5,AMD,LGA1151,8,4.91,37,207.53 zł,2/25/2014,x86-64,true
i5,Intel,AM4,7,3.18,32,68.79 zł,5/17/2015,x86-64,false
Ryzen 7,AMD,AM4,10,2.22,199,281.93 zł,1/24/2015,x86,true
i7,Intel,LGA1151,13,1.57,55,252.08 zł,5/26/2010,x86,false
Ryzen 7,Intel,AM4,13,2.5,123,139.7 zł,10/4/2016,x86-64,true
Ryzen 5,Intel,LGA1151,16,1.02,159,461.48 zł,9/17/2011,x86-64,false
i3,AMD,LGA1151,14,3.43,124,99.63 zł,10/8/2010,x86-64,true
Ryzen 5,Intel,LGA1151,6,4.1,164,776.83 zł,1/18/2017,x86,false
i3,AMD,LGA1151,12,4.14,114,789.16 zł,10/19/2014,x86-64,false
i5,AMD,LGA1151,4,2.02,27,338.98 zł,8/1/2012,x86-64,true
Ryzen 5,AMD,LGA1151,11,2.56,181,412.33 zł,7/6/2013,x86,false
i3,Intel,LGA1151,14,2.06,92,66.83 zł,4/21/2019,x86,true
i7,Intel,LGA1151,13,3.56,142,188.94 zł,3/16/2018,x86,true
Ryzen 5,Intel,AM4,2,1.53,52,565.4 zł,10/6/2011,x86,true
Ryzen 7,AMD,LGA1151,7,4.58,132,261.2 zł,9/23/2018,x86-64,false
i5,Intel,AM4,13,2.68,178,54.86 zł,5/23/2016,x86-64,true
i3,AMD,AM4,9,2.78,150,818.33 zł,10/16/2012,x86-64,false
Ryzen 5,AMD,AM4,14,2.09,118,708.01 zł,12/8/2021,x86,false
Ryzen 5,Intel,AM4,15,2.09,179,184.64 zł,1/21/2013,x86-64,true
i7,Intel,AM4,11,4.8,189,834.14 zł,7/11/2018,x86,true
Ryzen 5,AMD,LGA1151,8,2.44,115,226.38 zł,8/30/2021,x86,true
i5,Intel,AM4,9,4.35,73,655.68 zł,2/9/2015,x86,true
i5,AMD,LGA1151,6,2.19,104,449.32 zł,11/4/2018,x86,false
Ryzen 5,Intel,LGA1151,10,3.68,137,539.73 zł,2/19/2010,x86,true
i7,AMD,LGA1151,14,4.39,124,257.27 zł,12/14/2015,x86-64,true
Ryzen 5,AMD,AM4,7,1.92,95,569.54 zł,11/12/2020,x86,true
Ryzen 7,Intel,LGA1151,12,3.92,171,982.88 zł,7/4/2013,x86-64,true
i5,AMD,AM4,9,4.52,183,481.88 zł,5/12/2010,x86,true
Ryzen 7,Intel,LGA1151,14,4.86,140,98.29 zł,12/14/2011,x86,true
i3,AMD,AM4,4,1.81,197,244.82 zł,12/21/2020,x86-64,true
Ryzen 5,AMD,AM4,11,4.8,162,861.29 zł,12/13/2013,x86-64,true
Ryzen 5,AMD,LGA1151,6,2.34,111,531.56 zł,7/3/2014,x86,true
i3,AMD,LGA1151,16,4.15,41,422.58 zł,4/18/2012,x86,true
Ryzen 5,AMD,LGA1151,10,1.42,56,807.1 zł,8/28/2011,x86-64,true
Ryzen 5,AMD,LGA1151,4,4.91,89,66.51 zł,1/23/2014,x86-64,false
i3,AMD,AM4,12,4.78,77,776.19 zł,12/29/2010,x86-64,false
i7,Intel,LGA1151,10,3.74,161,580.95 zł,7/13/2010,x86-64,false
Ryzen 7,AMD,LGA1151,4,2.39,100,261.42 zł,8/23/2010,x86,true
i7,Intel,AM4,16,1.34,117,441.72 zł,5/18/2016,x86-64,true
i3,AMD,LGA1151,6,1.87,12,719.71 zł,4/12/2013,x86-64,false
Ryzen 7,AMD,AM4,7,3.69,33,823.96 zł,9/24/2022,x86,false
i7,Intel,LGA1151,9,4.56,111,884.53 zł,9/25/2016,x86-64,true
Ryzen 7,Intel,AM4,12,3.39,161,116.06 zł,12/17/2021,x86,true
Ryzen 5,Intel,AM4,6,4.97,200,78.4 zł,7/10/2016,x86-64,true
Ryzen 5,AMD,AM4,16,3.45,61,705.74 zł,9/6/2014,x86,true
i3,Intel,LGA1151,15,1.78,18,339.14 zł,6/23/2019,x86-64,false
i5,Intel,AM4,5,2.12,109,371.14 zł,2/13/2022,x86-64,true
i7,AMD,LGA1151,9,4.48,131,847.92 zł,2/10/2020,x86-64,true
i3,AMD,AM4,14,2.47,173,168.66 zł,8/19/2022,x86,false
Ryzen 7,AMD,LGA1151,10,4.48,153,797.23 zł,3/20/2014,x86,false
Ryzen 7,AMD,LGA1151,15,1.71,107,556.66 zł,9/18/2022,x86,true
i3,Intel,AM4,2,3.25,84,717.79 zł,8/21/2021,x86,false
i5,Intel,AM4,16,2.35,80,469.18 zł,1/20/2010,x86-64,false
Ryzen 5,AMD,AM4,4,4.04,59,118.62 zł,10/21/2021,x86,true
i7,AMD,AM4,15,4.25,63,496.83 zł,5/3/2016,x86,true
Ryzen 5,Intel,AM4,10,4.51,187,324.62 zł,3/9/2019,x86-64,true
i7,Intel,LGA1151,9,3.46,156,803.1 zł,7/27/2022,x86-64,true
i7,AMD,LGA1151,2,2.05,200,54.06 zł,2/12/2016,x86-64,false
i5,AMD,LGA1151,2,4.08,104,314.14 zł,10/24/2019,x86,true
i5,AMD,AM4,7,1.93,94,378.97 zł,6/23/2012,x86,true
Ryzen 7,Intel,LGA1151,9,1.89,165,333.94 zł,4/23/2010,x86,false
Ryzen 5,Intel,AM4,16,4.23,90,918.44 zł,7/19/2013,x86-64,true
i5,Intel,LGA1151,8,1.39,147,566.06 zł,12/29/2017,x86,true
Ryzen 5,AMD,LGA1151,2,2.16,181,674.71 zł,12/21/2011,x86-64,true
i3,AMD,AM4,7,2.78,111,638.66 zł,7/22/2018,x86,false
i3,AMD,AM4,14,1.14,68,927.06 zł,5/4/2022,x86-64,false
i5,AMD,LGA1151,6,1.34,19,85.44 zł,8/28/2022,x86,true
Ryzen 5,AMD,LGA1151,4,1.34,73,708.47 zł,11/27/2014,x86,false
i3,Intel,LGA1151,15,3.42,37,777.31 zł,5/9/2013,x86,true
i3,AMD,AM4,11,3.57,119,507.35 zł,10/20/2011,x86-64,false
i3,AMD,AM4,12,2.11,57,86.79 zł,7/1/2017,x86-64,true
Ryzen 7,Intel,LGA1151,6,4.83,44,252.76 zł,5/2/2022,x86-64,false
i3,AMD,AM4,11,4.96,135,535.16 zł,6/8/2022,x86,true
i5,Intel,AM4,9,2.62,36,518.79 zł,10/29/2011,x86,false
i5,Intel,LGA1151,6,4.84,41,752.11 zł,12/23/2011,x86,true
i5,Intel,LGA1151,14,2.95,89,919.76 zł,9/20/2010,x86,false
Ryzen 5,Intel,AM4,6,4.02,185,762.69 zł,9/8/2013,x86,true
i7,AMD,LGA1151,8,2.02,135,972.32 zł,12/26/2014,x86,false
i5,AMD,LGA1151,2,1.5,36,237.1 zł,9/29/2015,x86-64,true
i3,Intel,LGA1151,5,3.56,147,698.68 zł,6/26/2019,x86,false
i5,Intel,LGA1151,6,4.22,107,64.48 zł,6/17/2019,x86,true
Ryzen 5,Intel,LGA1151,3,1.01,46,728.78 zł,9/6/2019,x86-64,true
Ryzen 7,Intel,LGA1151,6,1.78,163,499.77 zł,11/30/2010,x86-64,true
Ryzen 7,AMD,AM4,6,4.36,121,817.1 zł,9/14/2013,x86,true
i5,AMD,AM4,7,1.16,109,800.38 zł,9/13/2022,x86-64,true
Ryzen 5,Intel,AM4,8,1.31,197,321.81 zł,6/15/2016,x86,false
i7,AMD,LGA1151,13,2.6,74,55.26 zł,4/4/2020,x86-64,true
Ryzen 5,AMD,AM4,5,2.36,146,482.46 zł,1/21/2010,x86-64,false
Ryzen 5,Intel,AM4,6,2.07,19,487.52 zł,5/7/2018,x86-64,false
i7,AMD,LGA1151,13,3.03,118,73.95 zł,9/17/2020,x86,true
i5,Intel,LGA1151,12,4.13,194,947.6 zł,1/16/2022,x86,false
i5,Intel,LGA1151,12,4.56,20,939.13 zł,11/4/2013,x86-64,true
Ryzen 5,AMD,AM4,13,4.02,144,792.19 zł,2/5/2016,x86,false
i7,Intel,LGA1151,12,3.39,82,206.91 zł,7/2/2019,x86,false
i5,AMD,AM4,14,4.15,176,862.08 zł,3/4/2015,x86-64,false
Ryzen 7,Intel,LGA1151,2,1.82,29,308.86 zł,8/17/2016,x86-64,false
Ryzen 7,AMD,LGA1151,7,3.9,105,176.87 zł,2/22/2018,x86,false
i5,Intel,LGA1151,12,4.82,35,679.04 zł,9/16/2011,x86-64,true
i3,Intel,LGA1151,7,4.13,129,682.73 zł,6/27/2019,x86-64,false
i3,AMD,LGA1151,4,2.07,194,694.41 zł,1/10/2010,x86,true
Ryzen 5,AMD,LGA1151,5,1.03,85,865.77 zł,6/27/2020,x86,true
i3,AMD,AM4,6,4.2,11,162.14 zł,6/10/2015,x86,false
i5,Intel,LGA1151,14,2.68,65,210.34 zł,9/18/2012,x86,false
i3,Intel,AM4,2,3.02,31,233.61 zł,12/7/2017,x86-64,false
i5,Intel,AM4,12,1.52,121,781.32 zł,10/30/2015,x86,true
i5,Intel,LGA1151,5,4.38,42,931.88 zł,11/29/2016,x86,false
i5,AMD,LGA1151,15,2.23,85,123.68 zł,10/16/2010,x86-64,true
i5,AMD,AM4,2,1.6,144,446.43 zł,12/10/2015,x86,false
Ryzen 7,Intel,LGA1151,2,4.25,169,967.78 zł,2/17/2019,x86-64,false
i3,AMD,AM4,13,3.41,80,881.29 zł,1/26/2015,x86,false
Ryzen 5,Intel,AM4,7,3.29,84,183.32 zł,8/14/2015,x86-64,true
i3,AMD,AM4,2,4.54,53,122.13 zł,6/11/2017,x86-64,false
i5,AMD,LGA1151,13,1.35,28,367.02 zł,8/1/2018,x86,false
i3,Intel,LGA1151,2,2.71,145,717.94 zł,9/14/2020,x86-64,false
i7,Intel,AM4,13,1.7,110,174.03 zł,5/12/2016,x86-64,false
Ryzen 5,Intel,LGA1151,7,2.3,187,913.75 zł,5/22/2020,x86,false
i5,AMD,AM4,3,1.29,42,802.42 zł,3/26/2016,x86-64,true
i7,AMD,AM4,14,3.44,139,215.09 zł,12/12/2018,x86,false
i7,Intel,AM4,15,2.63,131,170.63 zł,4/30/2013,x86-64,false
i7,AMD,AM4,6,3.45,125,464.67 zł,2/28/2020,x86,false
Ryzen 5,AMD,AM4,6,2.06,133,327.64 zł,4/4/2017,x86-64,false
Ryzen 5,AMD,AM4,6,1.91,45,428.83 zł,10/31/2015,x86-64,false
i3,AMD,LGA1151,10,2.74,118,440.66 zł,3/11/2013,x86-64,true
i5,AMD,AM4,11,1.05,101,259.18 zł,1/28/2019,x86-64,true
i3,Intel,AM4,16,4.78,185,522.75 zł,5/13/2017,x86-64,false
i5,Intel,AM4,10,3.53,137,608.96 zł,11/1/2022,x86-64,false
i3,AMD,LGA1151,15,2.51,26,167.24 zł,5/1/2018,x86,false
Ryzen 5,AMD,AM4,8,4.85,154,369.71 zł,9/24/2014,x86-64,false
i5,Intel,LGA1151,10,2.41,188,632.08 zł,11/11/2021,x86,false
Ryzen 5,Intel,LGA1151,8,4,76,456.28 zł,11/9/2014,x86-64,true
Ryzen 7,AMD,AM4,16,3.01,26,332.43 zł,8/6/2014,x86,true
i7,AMD,LGA1151,13,2.33,56,504.92 zł,10/27/2022,x86,true
Ryzen 7,AMD,AM4,8,3.75,19,400.66 zł,5/23/2012,x86,true
Ryzen 7,Intel,LGA1151,15,1.5,60,914.69 zł,5/29/2012,x86,true
Ryzen 5,Intel,AM4,10,1.83,65,561.13 zł,8/4/2017,x86-64,false
Ryzen 7,Intel,AM4,10,3,160,944.35 zł,11/30/2010,x86,true
i7,AMD,AM4,11,2.89,27,943.97 zł,7/27/2017,x86,false
i7,Intel,LGA1151,3,1.04,122,681.99 zł,7/21/2019,x86-64,false
i7,AMD,LGA1151,3,4.88,100,95.18 zł,3/28/2014,x86-64,true
i5,AMD,AM4,16,4.26,175,317.54 zł,2/2/2018,x86-64,true
i7,AMD,LGA1151,4,3.8,10,838.64 zł,1/6/2016,x86,false
i7,Intel,LGA1151,6,2.85,177,851.06 zł,1/2/2012,x86,false
i7,AMD,AM4,5,1.29,82,433.93 zł,5/28/2015,x86-64,true
Ryzen 7,Intel,LGA1151,3,2.34,175,369.5 zł,5/25/2012,x86,false
i3,AMD,AM4,8,1.83,140,82.26 zł,12/20/2013,x86,true
Ryzen 5,AMD,LGA1151,14,3.37,47,792.74 zł,10/4/2014,x86,true
i7,Intel,AM4,7,3,75,165.26 zł,5/15/2014,x86-64,false
i7,Intel,AM4,16,3.95,88,51.29 zł,8/23/2020,x86,true
i3,Intel,AM4,2,1.41,44,58.83 zł,3/10/2019,x86,true
i7,AMD,AM4,4,3.56,149,276.66 zł,3/12/2018,x86-64,false
Ryzen 7,AMD,LGA1151,7,2.9,195,333.56 zł,5/17/2016,x86-64,false
i3,Intel,AM4,2,2.66,67,284.7 zł,4/13/2011,x86,false
Ryzen 7,Intel,AM4,11,4.41,99,764.08 zł,11/23/2022,x86-64,true
Ryzen 7,AMD,LGA1151,5,4.96,32,426.24 zł,5/27/2022,x86,false
i5,AMD,AM4,14,4.76,112,821.7 zł,10/8/2012,x86-64,true
Ryzen 5,Intel,AM4,4,4.05,166,870.72 zł,10/6/2011,x86,true
Ryzen 7,AMD,LGA1151,12,3.93,22,919.11 zł,12/26/2014,x86-64,false
i7,Intel,LGA1151,6,4.26,130,806.97 zł,8/16/2011,x86-64,false
i3,AMD,AM4,6,4.25,32,621.15 zł,3/26/2020,x86-64,false
i7,Intel,AM4,10,3.01,145,742.38 zł,3/27/2021,x86,true
i5,AMD,AM4,2,4.65,72,290.7 zł,4/11/2012,x86-64,true
Ryzen 7,AMD,AM4,10,1.99,187,795.71 zł,6/7/2016,x86-64,true
Ryzen 5,AMD,LGA1151,4,1.08,135,670.44 zł,4/10/2021,x86-64,true
Ryzen 7,AMD,AM4,14,4.45,36,704.56 zł,1/14/2022,x86,false
i7,AMD,AM4,14,2.09,88,296.07 zł,12/7/2012,x86,true
i5,AMD,LGA1151,2,2.31,25,233.37 zł,1/10/2020,x86,false
Ryzen 7,AMD,AM4,6,4.93,81,91.71 zł,7/23/2013,x86-64,false
i5,Intel,LGA1151,16,1.91,197,509.13 zł,3/8/2020,x86-64,false
i3,AMD,LGA1151,8,2.79,147,912.73 zł,9/4/2020,x86,true
Ryzen 7,Intel,AM4,10,4.47,88,760.46 zł,7/15/2014,x86,false
i5,AMD,AM4,14,1.95,76,278.25 zł,2/24/2022,x86-64,true
i5,AMD,AM4,11,2.46,16,919.05 zł,10/15/2015,x86-64,false
i5,Intel,AM4,9,2.08,82,227.69 zł,1/24/2014,x86-64,true
i7,Intel,LGA1151,7,4.66,32,867.33 zł,2/28/2011,x86,true
i3,Intel,LGA1151,12,3.75,127,764.09 zł,5/18/2019,x86-64,true
i3,Intel,LGA1151,6,1.56,151,855.29 zł,9/28/2011,x86-64,true
Ryzen 7,AMD,LGA1151,16,1.55,41,788.35 zł,4/13/2021,x86-64,true
Ryzen 7,Intel,LGA1151,13,2.38,45,874.52 zł,2/24/2015,x86,true
Ryzen 7,AMD,AM4,8,2.93,150,309.17 zł,1/16/2022,x86-64,false
Ryzen 5,Intel,LGA1151,8,4.21,163,927.0 zł,7/24/2021,x86-64,true
i3,AMD,LGA1151,6,4.74,68,716.27 zł,2/11/2012,x86,false
i7,Intel,LGA1151,6,1.53,80,531.34 zł,7/9/2020,x86-64,true
i5,Intel,AM4,2,4.34,22,104.3 zł,6/30/2017,x86-64,true
i3,AMD,AM4,5,1.18,190,413.82 zł,1/16/2022,x86-64,false
i5,AMD,AM4,4,3.35,51,335.18 zł,6/29/2016,x86-64,false
i7,Intel,AM4,7,4.29,161,756.65 zł,1/22/2019,x86-64,false
i3,AMD,AM4,7,1.47,72,890.23 zł,12/18/2013,x86,true
Ryzen 5,AMD,AM4,11,1.24,167,628.54 zł,1/1/2022,x86-64,false
Ryzen 7,Intel,LGA1151,2,4.53,141,559.27 zł,2/20/2014,x86,true
i5,Intel,AM4,10,2.02,28,837.9 zł,3/21/2016,x86-64,false
Ryzen 5,AMD,AM4,15,3.17,59,965.32 zł,3/6/2013,x86-64,false
i7,Intel,AM4,7,2.4,98,924.9 zł,11/14/2011,x86,false
i5,Intel,AM4,5,4.25,25,628.5 zł,1/7/2021,x86,true
i3,AMD,AM4,12,1.46,200,935.22 zł,5/8/2022,x86,true
Ryzen 7,Intel,LGA1151,4,1.52,90,131.1 zł,3/17/2015,x86-64,false
i7,Intel,LGA1151,13,3.08,48,862.27 zł,4/7/2019,x86,true
Ryzen 7,Intel,AM4,15,3.74,114,456.34 zł,6/16/2020,x86,true
i5,AMD,LGA1151,16,4.3,100,859.07 zł,8/19/2018,x86-64,false
Ryzen 7,AMD,AM4,15,2.49,141,251.87 zł,3/15/2010,x86,true
i5,AMD,AM4,12,2.86,143,276.22 zł,11/7/2014,x86-64,false
Ryzen 7,AMD,LGA1151,16,3.74,22,635.13 zł,5/5/2022,x86,false
i5,Intel,AM4,15,4.28,97,584.62 zł,10/6/2017,x86,true
Ryzen 5,AMD,AM4,5,1.65,23,540.64 zł,11/1/2019,x86,true
Ryzen 5,Intel,AM4,11,1.11,36,829.64 zł,2/17/2018,x86-64,true
i5,Intel,LGA1151,7,4.28,132,342.28 zł,6/22/2017,x86,true
Ryzen 5,Intel,LGA1151,13,3.63,46,526.11 zł,5/15/2014,x86,false
i7,Intel,LGA1151,6,2.07,192,786.85 zł,8/17/2011,x86-64,false
i5,Intel,LGA1151,10,3.9,180,510.33 zł,3/28/2021,x86-64,true
Ryzen 5,AMD,AM4,11,4.19,90,344.01 zł,2/25/2022,x86-64,true
i5,Intel,AM4,16,1.13,48,963.58 zł,4/16/2017,x86,false
i5,Intel,LGA1151,2,2.62,74,927.0 zł,9/22/2017,x86,true
Ryzen 5,Intel,AM4,5,3.47,41,731.41 zł,5/11/2021,x86,true
i5,Intel,LGA1151,16,3.51,188,965.48 zł,9/27/2010,x86,false
Ryzen 7,AMD,LGA1151,13,2.03,83,579.34 zł,10/4/2012,x86,true
i5,AMD,LGA1151,9,4.55,66,441.48 zł,5/22/2020,x86,false
i7,Intel,AM4,12,1.11,158,862.0 zł,3/21/2010,x86,false
Ryzen 5,AMD,AM4,2,2.38,41,252.2 zł,11/9/2011,x86,true
i7,Intel,AM4,13,3.25,56,296.39 zł,10/5/2022,x86-64,true
Ryzen 5,Intel,LGA1151,7,4.97,76,517.72 zł,9/30/2018,x86,false
i7,AMD,LGA1151,12,2.93,123,100.88 zł,10/4/2015,x86-64,false
i5,AMD,LGA1151,16,4.89,118,815.23 zł,1/24/2017,x86-64,false
i7,AMD,LGA1151,12,3.45,13,82.98 zł,7/17/2014,x86-64,true
i3,AMD,AM4,6,3.01,70,919.13 zł,7/24/2011,x86,false
Ryzen 5,AMD,LGA1151,5,3.8,166,447.24 zł,4/11/2018,x86,true
i5,AMD,LGA1151,16,3.03,59,66.32 zł,7/21/2020,x86-64,true
i7,AMD,LGA1151,15,2.81,120,730.74 zł,3/14/2011,x86,true
i3,Intel,LGA1151,12,2.51,65,809.6 zł,12/3/2014,x86,true
Ryzen 7,AMD,LGA1151,10,1.88,21,655.35 zł,3/5/2015,x86-64,false
i5,Intel,LGA1151,14,3.08,100,434.12 zł,4/4/2018,x86-64,false
i5,Intel,LGA1151,15,4.11,144,103.55 zł,4/20/2021,x86,true
i5,AMD,AM4,5,2.11,144,980.53 zł,4/30/2017,x86,false
i7,AMD,AM4,15,1.38,192,537.76 zł,9/9/2012,x86-64,false
i5,AMD,LGA1151,5,2.26,98,631.63 zł,9/29/2015,x86,false
i3,Intel,AM4,16,2.94,93,336.19 zł,12/23/2014,x86-64,true
i3,AMD,AM4,3,3.82,23,574.97 zł,12/31/2021,x86-64,true
i5,Intel,LGA1151,14,4.31,117,279.55 zł,6/14/2016,x86-64,true
i3,AMD,AM4,2,2.48,105,919.57 zł,9/2/2013,x86,false
Ryzen 5,Intel,AM4,11,2.96,16,766.54 zł,12/21/2012,x86-64,false
Ryzen 7,AMD,LGA1151,12,2.13,142,531.07 zł,7/13/2020,x86-64,false
Ryzen 7,AMD,AM4,6,3.42,138,686.18 zł,6/6/2012,x86,true
i5,Intel,LGA1151,11,3.63,38,832.86 zł,10/28/2020,x86-64,false
i5,AMD,LGA1151,10,3.61,159,223.21 zł,10/14/2017,x86,false
i3,Intel,AM4,11,3.69,127,206.56 zł,8/23/2020,x86-64,false
i3,AMD,LGA1151,12,2.21,80,613.16 zł,11/28/2013,x86,false
i7,Intel,LGA1151,9,1.5,46,609.03 zł,12/10/2018,x86,true
i5,Intel,AM4,2,1.57,103,649.11 zł,11/22/2013,x86,true
i3,AMD,LGA1151,7,2.57,42,578.8 zł,6/20/2012,x86,false
Ryzen 7,AMD,AM4,16,1.98,150,314.62 zł,3/13/2020,x86-64,true
i5,AMD,AM4,3,1.49,104,431.16 zł,3/12/2017,x86-64,false
Ryzen 5,AMD,LGA1151,9,4.56,167,651.36 zł,1/20/2013,x86,false
i3,Intel,AM4,13,3.18,184,529.07 zł,12/17/2016,x86,false
i3,AMD,AM4,6,4.58,126,538.12 zł,4/23/2011,x86,false
i5,Intel,AM4,13,3.23,106,373.91 zł,11/30/2011,x86-64,true
Ryzen 5,Intel,LGA1151,4,3.25,112,58.5 zł,11/22/2014,x86,true
i7,Intel,LGA1151,14,4.26,157,883.69 zł,12/9/2017,x86-64,true
i5,Intel,AM4,2,3.07,26,151.48 zł,4/17/2012,x86-64,true
i5,AMD,AM4,9,1.48,129,84.59 zł,8/18/2016,x86-64,true
Ryzen 7,Intel,LGA1151,7,1.13,74,836.81 zł,10/15/2020,x86,true
Ryzen 7,AMD,LGA1151,12,2.98,110,55.75 zł,9/9/2015,x86,true
Ryzen 7,Intel,LGA1151,10,4.99,15,698.9 zł,8/16/2020,x86-64,true
Ryzen 5,Intel,AM4,3,4.56,30,914.25 zł,8/20/2018,x86-64,true
Ryzen 5,Intel,LGA1151,12,1.36,87,973.37 zł,11/16/2021,x86-64,true
Ryzen 7,AMD,LGA1151,16,1.53,188,915.0 zł,3/29/2016,x86,false
i5,Intel,AM4,16,4.43,173,572.2 zł,4/24/2020,x86-64,true
Ryzen 5,AMD,LGA1151,8,3.31,151,495.98 zł,3/24/2021,x86-64,true
i3,AMD,AM4,5,2.71,89,209.26 zł,1/27/2021,x86-64,true
i7,Intel,AM4,13,3.54,120,777.15 zł,10/12/2014,x86-64,true
Ryzen 5,Intel,LGA1151,10,4.6,150,954.89 zł,5/25/2013,x86,false
i7,AMD,AM4,8,1.89,187,385.69 zł,3/20/2022,x86,false
i5,AMD,LGA1151,5,1.38,33,899.53 zł,9/13/2014,x86,false
i3,AMD,LGA1151,14,4.43,194,989.49 zł,7/26/2019,x86-64,false
Ryzen 7,Intel,AM4,4,1.23,176,260.19 zł,12/30/2012,x86-64,false
i7,AMD,AM4,2,1.34,197,820.42 zł,4/10/2016,x86,true
i3,Intel,LGA1151,12,2.79,90,531.45 zł,6/30/2019,x86,true
i7,Intel,AM4,15,1.33,97,596.42 zł,5/9/2020,x86,true
Ryzen 7,AMD,LGA1151,14,3.72,27,130.41 zł,1/3/2011,x86-64,true
Ryzen 5,AMD,AM4,12,4.14,39,497.64 zł,9/30/2013,x86-64,true
i5,AMD,LGA1151,6,3.98,133,196.93 zł,1/16/2022,x86-64,false
Ryzen 5,AMD,AM4,9,4.15,109,331.3 zł,12/30/2016,x86-64,true
i3,AMD,AM4,10,2.49,64,533.86 zł,1/21/2020,x86-64,true
i3,Intel,AM4,12,1.94,102,174.04 zł,8/7/2012,x86-64,false
i7,Intel,LGA1151,9,2.06,81,695.31 zł,7/19/2015,x86,true
i3,Intel,AM4,14,4.03,37,492.96 zł,4/25/2012,x86,false
Ryzen 5,Intel,AM4,16,3.21,104,474.59 zł,12/30/2015,x86-64,true
Ryzen 5,Intel,LGA1151,14,2.42,24,846.26 zł,9/28/2020,x86-64,false
Ryzen 5,AMD,LGA1151,12,3.78,105,442.3 zł,10/28/2022,x86,true
i7,Intel,AM4,4,1.12,156,777.24 zł,3/21/2019,x86,true
Ryzen 5,AMD,AM4,11,3.65,145,217.8 zł,6/7/2011,x86-64,true
i5,AMD,LGA1151,4,3.56,175,154.18 zł,1/26/2020,x86,true
Ryzen 5,AMD,AM4,10,3.75,67,313.48 zł,10/4/2016,x86,true
Ryzen 7,AMD,AM4,9,4.18,185,766.94 zł,6/18/2013,x86-64,false
i3,Intel,LGA1151,12,4.74,10,903.46 zł,8/23/2017,x86,true
i3,AMD,LGA1151,14,3.6,101,725.92 zł,2/7/2011,x86,true
i7,AMD,AM4,11,3.47,83,966.7 zł,9/4/2019,x86,false
i3,AMD,LGA1151,15,1.43,177,130.93 zł,11/11/2013,x86,false
i5,Intel,LGA1151,6,2.69,170,427.22 zł,3/23/2013,x86-64,false
Ryzen 5,AMD,AM4,16,4.84,71,706.52 zł,2/19/2012,x86-64,false
i7,AMD,AM4,5,4.84,166,241.19 zł,12/20/2018,x86,true
i5,AMD,AM4,14,3.17,54,337.84 zł,6/28/2014,x86,true
i5,Intel,AM4,2,4.28,24,722.88 zł,9/5/2022,x86,true
